id,year,title,authors,venue,publication_status,topic,summary,reading_depth,url,pdf_url,local_pdf,redistribution_license,version_note
compact2026,2026,Eliminating Redundancy: Ultra-compact Code Generation for Programmable Dataflow Accelerators,Prasanth Chatarasi; Alex Gatea; Bardia Mahjour; Jintao Zhang; Alberto Mannari; Chris Bowler; Shubham Jain; Masoud Ataei Jaliseh; Nicole Khoun; Kamlesh Kumar; Viji Srinivasan; Swagath Venkataramani,CGO,published,Modern spatial mapping and wafer-scale execution,Addresses finite instruction storage through compiler transformations that compact generated code.,discovery,https://research.ibm.com/publications/eliminating-redundancy-ultra-compact-code-generation-for-programmable-dataflow-accelerators,,,,CGO conference page links to a preprint endpoint that returned HTTP 404 during collection; no PDF archived.
xu2026mlir,2026,Is It a Good Idea to Build an HLS Tool on Top of MLIR? Experience from Building the Dynamatic HLS Compiler,Jiahui Xu; Emmet Murphy; Lana Josipović,LATTE workshop,workshop,Programming models and compiler infrastructure,Reports practical benefits and difficulties of building an HLS compiler on MLIR.,targeted,https://arxiv.org/abs/2603.19856,https://arxiv.org/pdf/2603.19856v1,papers/2026/xu2026mlir.pdf,CC-BY-4.0,
vanessendelft2025,2025,"A System Level Compiler for Massively-Parallel, Spatial, Dataflow Architectures",Dirk Van Essendelft; Patrick Wingo; Terry Jordan; Ryan Smith; Wissam Saidi,preprint,preprint,Modern spatial mapping and wafer-scale execution,"Describes MACH, a system-level spatial compiler using a distributed controller/worker virtual machine.",full_main_text,https://arxiv.org/abs/2506.15875,https://arxiv.org/pdf/2506.15875v1,papers/2025/vanessendelft2025.pdf,CC0-1.0,
aries2025,2025,ARIES: An Agile MLIR-Based Compilation Flow for Reconfigurable Devices with AI Engines,Jinming Zhuang; Shaojie Xiang; Hongzheng Chen; Niansong Zhang; Zhuoping Yang; Tony Mao; Zhiru Zhang; Peipei Zhou,FPGA,published,Modern spatial mapping and wafer-scale execution,"Unifies compilation across AI Engine cores, arrays and associated programmable logic.",discovery,https://www.jinmingzhuang.com/publication/fpga25_aries/,https://www.csl.cornell.edu/~zhiruz/pdfs/aries-fpga2025.pdf,papers/2025/aries2025.pdf,CC-BY-4.0,
crush2025,2025,CRUSH: A Credit-Based Approach for Functional Unit Sharing in Dynamically Scheduled HLS,Jiahui Xu; Lana Josipović,ASPLOS,published,"Elastic, task-parallel and hybrid HLS",Uses credits to coordinate functional-unit sharing in dynamically scheduled HLS.,discovery,https://doi.org/10.1145/3669940.3707273,https://dynamo.ethz.ch/wp-content/uploads/2025/06/Xu_ASPLOS25_CRUSH.pdf,papers/2025/crush2025.pdf,CC-BY-4.0,
fang2025dato,2025,Dato: A Task-Based Programming Model for Dataflow Accelerators,Shihan Fang; Hongzheng Chen; Niansong Zhang; Jiajie Li; Han Meng; Adrian Liu; Zhiru Zhang,preprint,preprint,Programming models and compiler infrastructure,Makes task communication and sharding explicit in a programming model for dataflow accelerators.,targeted,https://arxiv.org/abs/2509.06794,https://arxiv.org/pdf/2509.06794v1,papers/2025/fang2025dato.pdf,CC-BY-4.0,
elasticmiter2025,2025,ElasticMiter: Formally Verified Dataflow Circuit Rewrites,Ayatallah Elakhras; Jiahui Xu; Martin Erhart; Paolo Ienne; Lana Josipović,ASPLOS,published,"Elastic, task-parallel and hybrid HLS",Studies formal validation of rewrites in elastic dataflow circuits.,discovery,https://www.epfl.ch/labs/lap/wp-content/uploads/2026/03/ElakhrasMar25-ElasticMiter-Formally-Verified-Dataflow-Circuit-Rewrites-ASPLOS25.pdf,https://www.epfl.ch/labs/lap/wp-content/uploads/2026/03/ElakhrasMar25-ElasticMiter-Formally-Verified-Dataflow-Circuit-Rewrites-ASPLOS25.pdf,papers/2025/elasticmiter2025.pdf,CC-BY-4.0,
wang2025air,2025,From Loop Nests to Silicon: Mapping AI Workloads onto AMD NPUs with MLIR-AIR,Erwei Wang et al.,preprint,preprint,Modern spatial mapping and wafer-scale execution,Describes hierarchical asynchronous compilation from loop nests to AMD NPU resources.,full_main_text,https://arxiv.org/abs/2510.14871,https://arxiv.org/pdf/2510.14871v1,papers/2025/wang2025air.pdf,CC-BY-4.0,
bouilloud2025,2025,Resource and Phase Awareness for Dynamically Scheduled High-Level Synthesis,Mathias Bouilloud; Lana Josipović; Wayne Luk,HEART,published,"Elastic, task-parallel and hybrid HLS",Introduces resource and execution-phase awareness into dynamically scheduled HLS.,discovery,https://dynamo.ethz.ch/wp-content/uploads/2025/06/Bouilloud_HEART25_ResourceAndPhaseAwareness.pdf,https://dynamo.ethz.ch/wp-content/uploads/2025/06/Bouilloud_HEART25_ResourceAndPhaseAwareness.pdf,papers/2025/bouilloud2025.pdf,CC-BY-4.0,
rewire2025,2025,Rewire: Advancing CGRA Mapping Through a Consolidated Routing Paradigm,Zhaoying Li; Dan Wu; Dhananjaya Wijerathne; Dan Chen; Huize Li; Cheng Tan; Tulika Mitra,DAC,published,Modern spatial mapping and wafer-scale execution,Studies routing-aware mapping for coarse-grained reconfigurable arrays.,discovery,https://ieeexplore.ieee.org/document/11133240/,https://www.comp.nus.edu.sg/~tulika/DAC25.pdf,,,
li2025tl,2025,TL: Automatic End-to-End Compiler of Tile-Based Languages for Spatial Dataflow Architectures,Wei Li; Zhenyu Bai; Heru Wang; Pranav Dangi; Zhiqiang Zhang; Cheng Tan; Huiying Lan; Weng-Fai Wong; Tulika Mitra,preprint,preprint,Modern spatial mapping and wafer-scale execution,Maps tile-language computations onto spatial cores using device constraints and mapping search.,full_main_text,https://arxiv.org/abs/2512.22168,https://arxiv.org/pdf/2512.22168v1,papers/2025/li2025tl.pdf,CC-BY-4.0,
he2025,2025,WaferLLM: Large Language Model Inference at Wafer Scale,Congjie He; Yeqi Huang; Pei Mu; Ziming Miao; Jilong Xue; Lingxiao Ma; Fan Yang; Luo Mai,OSDI,published,Modern spatial mapping and wafer-scale execution,Develops mesh-aware LLM algorithms and evaluates inference on a wafer-scale processor.,full_main_text,https://www.usenix.org/system/files/osdi25-he.pdf,https://www.usenix.org/system/files/osdi25-he.pdf,,,
chen2024allo,2024,Allo: A Programming Model for Composable Accelerator Design,Hongzheng Chen; Niansong Zhang; Shaojie Xiang; Zhichen Zeng; Mengjia Dai; Zhiru Zhang,PLDI,published,Programming models and compiler infrastructure,Composes accelerator customization through checked interfaces and reusable schedules.,full_main_text,https://www.csl.cornell.edu/~zhiruz/pdfs/allo-pldi2024.pdf,https://www.csl.cornell.edu/~zhiruz/pdfs/allo-pldi2024.pdf,,,
xu2024,2024,Suppressing Spurious Dynamism of Dataflow Circuits via Latency and Occupancy Balancing,Jiahui Xu; Lana Josipović,FPGA,published,"Elastic, task-parallel and hybrid HLS",Studies latency and occupancy balancing to reduce unnecessary dynamism in dataflow circuits.,discovery,https://dynamo.ethz.ch/wp-content/uploads/2024/04/Xu_FPGA24_SuppressingSpuriousDynamism.pdf,https://dynamo.ethz.ch/wp-content/uploads/2024/04/Xu_FPGA24_SuppressingSpuriousDynamism.pdf,papers/2024/xu2024.pdf,CC-BY-4.0,
cheng2021dass,2022,DASS: Combining Dynamic & Static Scheduling in High-Level Synthesis,Jianyi Cheng; Lana Josipovic; George A. Constantinides; Paolo Ienne; John Wickerson,IEEE TCAD,published,"Elastic, task-parallel and hybrid HLS",Combines statically scheduled regions with dynamically scheduled surrounding computation.,discovery,https://doi.org/10.1109/TCAD.2021.3065902,https://dynamo.ethz.ch/wp-content/uploads/2022/06/Cheng_TCAD21_DASSCombiningDynamicAndStaticSchedulinginHighLevelSynthesis.pdf,,,"First published online 15 March 2021; journal issue: IEEE TCAD 41(3), March 2022, pp. 628–641. Stable catalogue ID retains the discovery year."
exo2022,2022,Exocompilation for Productive Programming of Hardware Accelerators,Yuka Ikarashi; Gilbert Louis Bernstein; Alex Reinking; Hasan Genc; Jonathan Ragan-Kelley,PLDI,published,Programming models and compiler infrastructure,Moves hardware instructions and scheduling policy into user-extensible libraries and checked rewrites.,discovery,https://doi.org/10.1145/3519939.3523446,https://people.csail.mit.edu/yuka/pdf/exo_pldi2022_full.pdf,,,
nigam2021,2021,A Compiler Infrastructure for Accelerator Generators,Rachit Nigam; Samuel Thomas; Zhijing Li; Adrian Sampson,ASPLOS,published,Programming models and compiler infrastructure,"Presents Calyx, an accelerator IR combining structural datapaths with explicit control.",discovery,https://www.cs.cornell.edu/~asampson/media/papers/calyx-asplos2021.pdf,https://www.cs.cornell.edu/~asampson/media/papers/calyx-asplos2021.pdf,,,
wang2021autosa,2021,AutoSA: A Polyhedral Compiler for High-Performance Systolic Arrays on FPGA,Jie Wang; Licheng Guo; Jason Cong,FPGA,published,"Systolic algorithms, storage and performance",Generates FPGA systolic arrays through polyhedral transformation and architecture optimization.,discovery,https://github.com/UCLA-VAST/AutoSA,http://cadlab.cs.ucla.edu/~jaywang/papers/fpga21-autosa.pdf,,,
tapa2021,2021,Extending High-Level Synthesis for Task-Parallel Programs,Yuze Chi; Licheng Guo; Jason Lau; Young-kyu Choi; Jie Wang; Jason Cong,FCCM,published,"Elastic, task-parallel and hybrid HLS",Extends HLS with task-parallel programming and stream-based communication.,discovery,https://doi.org/10.1109/FCCM51124.2021.00032,https://jasonlau.io/research-papers/10.1109-FCCM51124.2021.00032.pdf,,,Full FCCM 2021 paper; distinguish from the FPGA 2021 abstract with a different author list.
lattner2021,2021,MLIR: Scaling Compiler Infrastructure for Domain Specific Computation,Chris Lattner; Mehdi Amini; Uday Bondhugula; Albert Cohen; Andy Davis; Jacques Pienaar; River Riddle; Tatiana Shpeisman; Nicolas Vasilache; Oleksandr Zinenko,CGO,published,Programming models and compiler infrastructure,Introduces reusable multilevel compiler infrastructure for domain-specific representations and lowering.,discovery,https://mlir.llvm.org/pubs/,https://arxiv.org/pdf/2002.11054,,,Indexed CGO 2021 publication title; linked arXiv manuscript uses the earlier title MLIR: A Compiler Infrastructure for the End of Moore’s Law.
josipovic2020,2020,Dynamatic: From C/C++ to Dynamically Scheduled Circuits,Lana Josipovic; Andrea Guerrieri; Paolo Ienne,FPGA,published,"Elastic, task-parallel and hybrid HLS",Presents a tool for translating C/C++ into dynamically scheduled dataflow circuits.,discovery,https://dynamo.ethz.ch/wp-content/uploads/2022/06/Josipovic_FPGA20_DynamaticFromCCToDynamicallyScheduledCircuits.pdf,https://dynamo.ethz.ch/wp-content/uploads/2022/06/Josipovic_FPGA20_DynamaticFromCCToDynamicallyScheduledCircuits.pdf,,,
bennun2019,2019,Stateful Dataflow Multigraphs: A Data-Centric Model for Performance Portability on Heterogeneous Architectures,Tal Ben-Nun; Johannes de Fine Licht; Alexandros Nikolaos Ziogas; Timo Schneider; Torsten Hoefler,SC,published,Programming models and compiler infrastructure,Makes data movement and state explicit in a graph representation for heterogeneous optimization.,discovery,https://spcl.inf.ethz.ch/Publications/.pdf/dace-sc19.pdf,https://spcl.inf.ethz.ch/Publications/.pdf/dace-sc19.pdf,,,
tillet2019,2019,Triton: An Intermediate Language and Compiler for Tiled Neural Network Computations,Philippe Tillet; H. T. Kung; David Cox,MAPL workshop,workshop,Programming models and compiler infrastructure,Introduces a tiled programming and compilation approach for neural-network kernels.,discovery,https://www.eecs.harvard.edu/~htk/publication/2019-mapl-tillet-kung-cox.pdf,https://www.eecs.harvard.edu/~htk/publication/2019-mapl-tillet-kung-cox.pdf,,,
koeplinger2018,2018,Spatial: A Language and Compiler for Application Accelerators,David Koeplinger; Matthew Feldman; Raghu Prabhakar; Yaqi Zhang; Stefan Hadjis; Ruben Fiszel; Tian Zhao; Luigi Nardi; Ardavan Pedram; Christos Kozyrakis; Kunle Olukotun,PLDI,published,Programming models and compiler infrastructure,Offers a language and compiler for expressing and optimizing application accelerators.,discovery,https://ppl.stanford.edu/papers/spatial18.pdf,https://ppl.stanford.edu/papers/spatial18.pdf,,,
chen2018tvm,2018,TVM: An Automated End-to-End Optimizing Compiler for Deep Learning,Tianqi Chen et al.,OSDI,published,Programming models and compiler infrastructure,"Connects graph optimization, tensor compilation and hardware-aware tuning in a learning compiler stack.",discovery,https://www.usenix.org/system/files/osdi18-chen.pdf,https://www.usenix.org/system/files/osdi18-chen.pdf,,,
